Discharge Time (s),Voltage (V)
997,3.975132
998,3.975981
999,3.97683
1000,3.975847
1001,3.97227
1002,3.973969
1003,3.972851
1004,3.973835
1005,3.974014
1006,3.974863
1007,3.97616
1008,3.974595
1009,3.974908
1010,3.975221
1011,3.976115
1012,3.972583
1013,3.972896
1014,3.973969
1015,3.973388
1016,3.973924
1017,3.974103
1018,3.975087
1019,3.974327
1020,3.974908
1021,3.975489
1022,3.976026
1023,3.973611
1024,3.973477
1025,3.971644
1026,3.973075
1027,3.971957
1028,3.973567
1029,3.972941
1030,3.975445
1031,3.974394
1032,3.973343
1033,3.97388
1034,3.972494
1035,3.972717
1036,3.973164
1037,3.972449
1038,3.972359
1039,3.973835
1040,3.973701
1041,3.973746
1042,3.974461
1043,3.9741255
1044,3.97379
1045,3.971331
1046,3.971599
1047,3.972315
1048,3.971018
1049,3.972047
1050,3.974059
1051,3.973567
1052,3.972807
1053,3.973746
1054,3.9736339999999997
1055,3.973522
1056,3.971912
1057,3.97227
1058,3.969319
1059,3.972136
1060,3.969766
1061,3.971868
1062,3.971957
1063,3.972449
1064,3.973746
1065,3.9728515
1066,3.971957
1067,3.972494
1068,3.970884
1069,3.971644
1070,3.969766
1071,3.971644
1072,3.971465
1073,3.972315
1074,3.972449
1075,3.972091
1076,3.9717335
1077,3.971376
1078,3.971242
1079,3.969185
1080,3.970482
1081,3.96923
1082,3.96914
1083,3.970392
1084,3.971063
1085,3.971108
1086,3.970526
1087,3.970571
1088,3.970616
1089,3.970795
1090,3.969051
1091,3.968827
1092,3.968872
1093,3.970303
1094,3.971152
1095,3.970973
1096,3.970437
1097,3.969945
1098,3.9706605
1099,3.971376
1100,3.969409
1101,3.970929
1102,3.968604
1103,3.968246
1104,3.967978
1105,3.969811
1106,3.969766
1107,3.970616
1108,3.9703030000000004
1109,3.96999
1110,3.970437
1111,3.968693
1112,3.968067
1113,3.969453
1114,3.967441
1115,3.967039
1116,3.96771
1117,3.967889
1118,3.969453
1119,3.9691625000000004
1120,3.968872
1121,3.968649
1122,3.967799
1123,3.967263
1124,3.966368
1125,3.966547
1126,3.967531
1127,3.968514
1128,3.968425
1129,3.967844
1130,3.9681344999999997
1131,3.968425
1132,3.966726
1133,3.966055
1134,3.965832
1135,3.965072
1136,3.966949
1137,3.966905
1138,3.965877
1139,3.967263
1140,3.968649
1141,3.968157
1142,3.967665
1143,3.964938
1144,3.966368
1145,3.9661
1146,3.966502
1147,3.966055
1148,3.964848
1149,3.967128
1150,3.966726
1151,3.967441
1152,3.9670164999999997
1153,3.966592
1154,3.963328
1155,3.966502
1156,3.965161
1157,3.965698
1158,3.964669
1159,3.966011
1160,3.965474
1161,3.967173
1162,3.966927
1163,3.966681
1164,3.967084
1165,3.96449
